frame.number,frame.time_relative,wlan.ra,wlan.ta
1086,40.500976000,00:00:00:00:00:08,00:00:00:00:00:03
1105,41.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1106,41.500996000,00:00:00:00:00:08,00:00:00:00:00:03
1124,42.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1125,42.504090000,00:00:00:00:00:08,00:00:00:00:00:03
1143,43.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1144,43.501954000,00:00:00:00:00:08,00:00:00:00:00:03
1163,44.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1164,44.503632000,00:00:00:00:00:08,00:00:00:00:00:03
1165,44.505049000,00:00:00:00:00:08,00:00:00:00:00:03
1184,45.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1185,45.503732000,00:00:00:00:00:08,00:00:00:00:00:03
1186,45.504469000,00:00:00:00:00:08,00:00:00:00:00:03
1205,46.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1206,46.501256000,00:00:00:00:00:08,00:00:00:00:00:03
1207,46.504103000,00:00:00:00:00:08,00:00:00:00:00:03
1225,47.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1226,47.502912000,00:00:00:00:00:08,00:00:00:00:00:03
1245,48.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1246,48.501156000,00:00:00:00:00:08,00:00:00:00:00:03
1265,49.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1266,49.502274000,00:00:00:00:00:08,00:00:00:00:00:03
1285,50.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1286,50.502474000,00:00:00:00:00:08,00:00:00:00:00:03
1287,50.507880000,00:00:00:00:00:08,00:00:00:00:00:03
1307,51.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1308,51.500776000,00:00:00:00:00:08,00:00:00:00:00:03
1326,52.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1327,52.503252000,00:00:00:00:00:08,00:00:00:00:00:03
1345,53.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1346,53.501016000,00:00:00:00:00:08,00:00:00:00:00:03
1366,54.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1367,54.503152000,00:00:00:00:00:08,00:00:00:00:00:03
1385,55.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1386,55.500836000,00:00:00:00:00:08,00:00:00:00:00:03
1406,56.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1407,56.500936000,00:00:00:00:00:08,00:00:00:00:00:03
1428,57.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1429,57.502095000,00:00:00:00:00:08,00:00:00:00:00:03
1448,58.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1449,58.500856000,00:00:00:00:00:08,00:00:00:00:00:03
1468,59.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1469,59.503012000,00:00:00:00:00:08,00:00:00:00:00:03
1489,60.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1490,60.503572000,00:00:00:00:00:08,00:00:00:00:00:03
1509,61.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1510,61.503172000,00:00:00:00:00:08,00:00:00:00:00:03
1529,62.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1530,62.500876000,00:00:00:00:00:08,00:00:00:00:00:03
1548,63.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1549,63.501076000,00:00:00:00:00:08,00:00:00:00:00:03
1568,64.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1569,64.501875000,00:00:00:00:00:08,00:00:00:00:00:03
1587,65.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1588,65.504030000,00:00:00:00:00:08,00:00:00:00:00:03
1608,66.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1609,66.501776000,00:00:00:00:00:08,00:00:00:00:00:03
1610,66.506523000,00:00:00:00:00:08,00:00:00:00:00:03
1629,67.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1630,67.502214000,00:00:00:00:00:08,00:00:00:00:00:03
1650,68.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1651,68.500996000,00:00:00:00:00:08,00:00:00:00:00:03
1652,68.504963000,00:00:00:00:00:08,00:00:00:00:00:03
1653,68.506060000,00:00:00:00:00:08,00:00:00:00:00:03
1671,69.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1672,69.501975000,00:00:00:00:00:08,00:00:00:00:00:03
1691,70.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1692,70.501216000,00:00:00:00:00:08,00:00:00:00:00:03
1693,70.505927000,00:00:00:00:00:08,00:00:00:00:00:03
1711,71.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1712,71.502772000,00:00:00:00:00:08,00:00:00:00:00:03
1730,72.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1731,72.500576000,00:00:00:00:00:08,00:00:00:00:00:03
1732,72.505321000,00:00:00:00:00:08,00:00:00:00:00:03
1752,73.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1753,73.500616000,00:00:00:00:00:08,00:00:00:00:00:03
1774,74.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1775,74.503212000,00:00:00:00:00:08,00:00:00:00:00:03
1776,74.503869000,00:00:00:00:00:08,00:00:00:00:00:03
1794,75.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1795,75.500716000,00:00:00:00:00:08,00:00:00:00:00:03
1813,76.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1814,76.501815000,00:00:00:00:00:08,00:00:00:00:00:03
1833,77.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1834,77.501576000,00:00:00:00:00:08,00:00:00:00:00:03
1835,77.506261000,00:00:00:00:00:08,00:00:00:00:00:03
1855,78.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1856,78.500656000,00:00:00:00:00:08,00:00:00:00:00:03
1875,79.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1876,79.500996000,00:00:00:00:00:08,00:00:00:00:00:03
1894,80.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1895,80.500576000,00:00:00:00:00:08,00:00:00:00:00:03
1914,81.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1915,81.504290000,00:00:00:00:00:08,00:00:00:00:00:03
1916,81.507807000,00:00:00:00:00:08,00:00:00:00:00:03
1936,82.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1937,82.501814000,00:00:00:00:00:08,00:00:00:00:00:03
1956,83.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1957,83.501316000,00:00:00:00:00:08,00:00:00:00:00:03
1958,83.507359000,00:00:00:00:00:08,00:00:00:00:00:03
1978,84.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1979,84.503492000,00:00:00:00:00:08,00:00:00:00:00:03
1980,84.507484000,00:00:00:00:00:08,00:00:00:00:00:03
1999,85.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2000,85.504490000,00:00:00:00:00:08,00:00:00:00:00:03
2018,86.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2019,86.500616000,00:00:00:00:00:08,00:00:00:00:00:03
2037,87.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2038,87.501016000,00:00:00:00:00:08,00:00:00:00:00:03
2039,87.505341000,00:00:00:00:00:08,00:00:00:00:00:03
2057,88.499959000,00:00:00:00:00:08,00:00:00:00:00:03
2058,88.501895000,00:00:00:00:00:08,00:00:00:00:00:03
