1078,37040,14654,8953,31,34738,19392,1279,3482,21367
7957,1077,28971,8433,79,9568,3398,15000,13204,12291
3333,13388,4524,15231,17997,2767,81,14493,20413,28235
2643,47,1654,3377,4070,10734,3646,5732,13775,29231
18,8287,71,9062,11755,26,44,5567,16115,7796
22274,11107,24621,17837,34099,2497,10252,25,37,47
18148,7717,23418,44,2393,57,13464,2737,37,7171
10211,72,20,13652,14611,39,8152,34,12008,870
15419,12201,7259,20069,15131,18179,5056,2827,57,13848
19060,7723,15348,34915,7250,1208,9177,34,84,15325
