frame.number,frame.time_relative,wlan.ta,wlan.ra
11,0.292622000,00:00:00:00:00:08,00:00:00:00:00:03
20,0.297134000,00:00:00:00:00:08,00:00:00:00:00:05
53,0.312395000,00:00:00:00:00:08,00:00:00:00:00:04
60,0.315045000,00:00:00:00:00:08,00:00:00:00:00:05
71,0.324926000,00:00:00:00:00:08,00:00:00:00:00:03
87,0.783092000,00:00:00:00:00:08,00:00:00:00:00:05
104,0.788490000,00:00:00:00:00:08,00:00:00:00:00:03
111,1.503757000,00:00:00:00:00:08,00:00:00:00:00:0c
115,1.506325000,00:00:00:00:00:08,00:00:00:00:00:04
121,1.517767000,00:00:00:00:00:08,00:00:00:00:00:03
122,1.518864000,00:00:00:00:00:08,00:00:00:00:00:03
130,1.525656000,00:00:00:00:00:08,00:00:00:00:00:03
133,1.531458000,00:00:00:00:00:08,00:00:00:00:00:04
144,1.542058000,00:00:00:00:00:08,00:00:00:00:00:0c
163,2.468949000,00:00:00:00:00:08,00:00:00:00:00:0c
165,2.470148000,00:00:00:00:00:08,00:00:00:00:00:0c
172,2.566533000,00:00:00:00:00:08,00:00:00:00:00:0c
178,2.593753000,00:00:00:00:00:08,00:00:00:00:00:0c
180,2.655445000,00:00:00:00:00:08,00:00:00:00:00:05
188,2.658108000,00:00:00:00:00:08,00:00:00:00:00:0c
195,2.727545000,00:00:00:00:00:08,00:00:00:00:00:0c
209,2.739234000,00:00:00:00:00:08,00:00:00:00:00:05
213,2.740661000,00:00:00:00:00:08,00:00:00:00:00:0c
235,3.470199000,00:00:00:00:00:08,00:00:00:00:00:0c
237,3.471498000,00:00:00:00:00:08,00:00:00:00:00:0c
239,3.473097000,00:00:00:00:00:08,00:00:00:00:00:0c
255,4.468010000,00:00:00:00:00:08,00:00:00:00:00:0c
257,4.469429000,00:00:00:00:00:08,00:00:00:00:00:0c
263,4.472544000,00:00:00:00:00:08,00:00:00:00:00:0c
278,5.468449000,00:00:00:00:00:08,00:00:00:00:00:0c
284,5.470805000,00:00:00:00:00:08,00:00:00:00:00:0c
286,5.472404000,00:00:00:00:00:08,00:00:00:00:00:0c
304,6.468469000,00:00:00:00:00:08,00:00:00:00:00:0c
310,6.470885000,00:00:00:00:00:08,00:00:00:00:00:0c
312,6.472124000,00:00:00:00:00:08,00:00:00:00:00:0c
326,7.467251000,00:00:00:00:00:08,00:00:00:00:00:0c
334,7.471425000,00:00:00:00:00:08,00:00:00:00:00:0c
336,7.472704000,00:00:00:00:00:08,00:00:00:00:00:0c
358,8.469807000,00:00:00:00:00:08,00:00:00:00:00:0c
360,8.471326000,00:00:00:00:00:08,00:00:00:00:00:0c
