frame.number,frame.time_relative,wlan.ra,wlan.ta
65,0.536663000,00:00:00:00:00:08,00:00:00:00:00:04
91,0.563085000,00:00:00:00:00:08,00:00:00:00:00:03
127,0.776272000,00:00:00:00:00:08,00:00:00:00:00:04
186,1.278111000,00:00:00:00:00:08,00:00:00:00:00:03
188,1.279086000,00:00:00:00:00:08,00:00:00:00:00:03
208,1.305282000,00:00:00:00:00:08,00:00:00:00:00:04
242,1.468384000,00:00:00:00:00:08,00:00:00:00:00:04
244,1.470839000,00:00:00:00:00:08,00:00:00:00:00:03
256,1.566707000,00:00:00:00:00:08,00:00:00:00:00:04
326,2.468624000,00:00:00:00:00:08,00:00:00:00:00:03
328,2.470920000,00:00:00:00:00:08,00:00:00:00:00:04
351,2.741852000,00:00:00:00:00:08,00:00:00:00:00:04
375,3.469084000,00:00:00:00:00:08,00:00:00:00:00:03
376,3.470096000,00:00:00:00:00:08,00:00:00:00:00:04
378,3.473991000,00:00:00:00:00:08,00:00:00:00:00:03
379,3.474908000,00:00:00:00:00:08,00:00:00:00:00:03
433,4.471060000,00:00:00:00:00:08,00:00:00:00:00:03
435,4.472099000,00:00:00:00:00:08,00:00:00:00:00:04
467,5.469244000,00:00:00:00:00:08,00:00:00:00:00:03
468,5.469836000,00:00:00:00:00:08,00:00:00:00:00:04
470,5.475567000,00:00:00:00:00:08,00:00:00:00:00:03
502,6.469124000,00:00:00:00:00:08,00:00:00:00:00:04
504,6.470202000,00:00:00:00:00:08,00:00:00:00:00:03
536,7.468444000,00:00:00:00:00:08,00:00:00:00:00:03
538,7.469663000,00:00:00:00:00:08,00:00:00:00:00:04
569,8.468604000,00:00:00:00:00:08,00:00:00:00:00:03
571,8.473416000,00:00:00:00:00:08,00:00:00:00:00:04
603,9.468364000,00:00:00:00:00:08,00:00:00:00:00:04
605,9.470759000,00:00:00:00:00:08,00:00:00:00:00:03
637,10.468324000,00:00:00:00:00:08,00:00:00:00:00:04
639,10.473355000,00:00:00:00:00:08,00:00:00:00:00:03
671,11.469044000,00:00:00:00:00:08,00:00:00:00:00:03
673,11.471200000,00:00:00:00:00:08,00:00:00:00:00:04
705,12.468884000,00:00:00:00:00:08,00:00:00:00:00:03
707,12.469983000,00:00:00:00:00:08,00:00:00:00:00:04
739,13.470760000,00:00:00:00:00:08,00:00:00:00:00:03
741,13.473456000,00:00:00:00:00:08,00:00:00:00:00:04
773,14.468484000,00:00:00:00:00:08,00:00:00:00:00:03
775,14.471020000,00:00:00:00:00:08,00:00:00:00:00:04
807,15.471931000,00:00:00:00:00:08,00:00:00:00:00:04
809,15.474927000,00:00:00:00:00:08,00:00:00:00:00:03
841,16.468684000,00:00:00:00:00:08,00:00:00:00:00:04
843,16.469702000,00:00:00:00:00:08,00:00:00:00:00:03
875,17.468564000,00:00:00:00:00:08,00:00:00:00:00:03
876,17.469096000,00:00:00:00:00:08,00:00:00:00:00:04
