frame.number,frame.time_relative,wlan.ta,wlan.ra
34261,280.785248000,00:00:00:00:00:21,00:00:00:00:00:08
34276,280.803156000,00:00:00:00:00:21,00:00:00:00:00:08
45177,331.799959000,00:00:00:00:00:32,00:00:00:00:00:08
45449,332.799959000,00:00:00:00:00:32,00:00:00:00:00:08
45701,333.799959000,00:00:00:00:00:32,00:00:00:00:00:08
45949,334.799959000,00:00:00:00:00:32,00:00:00:00:00:08
46211,335.799959000,00:00:00:00:00:32,00:00:00:00:00:08
46469,336.799959000,00:00:00:00:00:32,00:00:00:00:00:08
48323,344.159525000,00:00:00:00:00:32,00:00:00:00:00:08
48326,344.173914000,00:00:00:00:00:32,00:00:00:00:00:08
48331,344.194509000,00:00:00:00:00:32,00:00:00:00:00:08
48337,344.213121000,00:00:00:00:00:32,00:00:00:00:00:08
48341,344.221315000,00:00:00:00:00:32,00:00:00:00:00:08
48346,344.240827000,00:00:00:00:00:32,00:00:00:00:00:08
48351,344.257696000,00:00:00:00:00:32,00:00:00:00:00:08
48356,344.273707000,00:00:00:00:00:32,00:00:00:00:00:08
48360,344.291976000,00:00:00:00:00:32,00:00:00:00:00:08
48367,344.321905000,00:00:00:00:00:32,00:00:00:00:00:08
48371,344.337780000,00:00:00:00:00:32,00:00:00:00:00:08
48377,344.352795000,00:00:00:00:00:32,00:00:00:00:00:08
48381,344.372127000,00:00:00:00:00:32,00:00:00:00:00:08
48383,344.375821000,00:00:00:00:00:32,00:00:00:00:00:08
48384,344.379898000,00:00:00:00:00:32,00:00:00:00:00:08
48390,344.399370000,00:00:00:00:00:32,00:00:00:00:00:08
48396,344.422706000,00:00:00:00:00:32,00:00:00:00:00:08
48400,344.439857000,00:00:00:00:00:32,00:00:00:00:00:08
48403,344.446874000,00:00:00:00:00:32,00:00:00:00:00:08
48409,344.467903000,00:00:00:00:00:32,00:00:00:00:00:08
48415,344.483792000,00:00:00:00:00:32,00:00:00:00:00:08
48419,344.493726000,00:00:00:00:00:32,00:00:00:00:00:08
48424,344.507027000,00:00:00:00:00:32,00:00:00:00:00:08
53128,377.698442000,00:00:00:00:00:05,00:00:00:00:00:08
53149,378.032371000,00:00:00:00:00:31,00:00:00:00:00:08
53155,378.118507000,00:00:00:00:00:31,00:00:00:00:00:08
53176,378.778940000,00:00:00:00:00:0a,00:00:00:00:00:08
53266,380.773446000,00:00:00:00:00:07,00:00:00:00:00:08
53806,386.371280000,00:00:00:00:00:32,00:00:00:00:00:08
53816,386.377959000,00:00:00:00:00:05,00:00:00:00:00:08
53825,386.393537000,00:00:00:00:00:32,00:00:00:00:00:08
53849,386.481537000,00:00:00:00:00:32,00:00:00:00:00:08
