3483,3856,2982,3341,3484,3328,3118,2861,4350,3725
3480,3505,3222,2484,3232,3478,3487,3227,2984,2613
3597,4356,3486,3602,3196,3451,2970,4010,3352,2976
2853,4100,3071,2985,3239,3107,3357,3482,3986,2608
3362,3858,3486,3107,2708,3484,3111,3505,2994,3748
3593,2608,3987,2994,3481,3217,2727,3486,3863,3608
3597,3359,2989,3484,3595,3115,3102,3227,3126,3483
2519,3722,3499,2890,3840,3970,3091,3601,3852,3233
3225,2488,3574,3941,3728,3108,1915,2488,3123,2977
2999,3092,2993,2988,3855,2729,3107,2985,4108,2732
