frame.number,frame.time_relative,wlan.ta,wlan.ra
63279,280.753429000,00:00:00:00:00:21,00:00:00:00:00:08
63294,280.771337000,00:00:00:00:00:21,00:00:00:00:00:08
79572,377.666831000,00:00:00:00:00:05,00:00:00:00:00:08
79581,377.669902000,00:00:00:00:00:0b,00:00:00:00:00:08
79640,378.000552000,00:00:00:00:00:31,00:00:00:00:00:08
79662,378.086688000,00:00:00:00:00:31,00:00:00:00:00:08
79791,378.746913000,00:00:00:00:00:0a,00:00:00:00:00:08
80198,380.741627000,00:00:00:00:00:07,00:00:00:00:00:08
80206,380.744350000,00:00:00:00:00:10,00:00:00:00:00:08
81297,386.339461000,00:00:00:00:00:32,00:00:00:00:00:08
81307,386.346347000,00:00:00:00:00:05,00:00:00:00:00:08
81316,386.361718000,00:00:00:00:00:32,00:00:00:00:00:08
81340,386.449718000,00:00:00:00:00:32,00:00:00:00:00:08
