frame.number,frame.time_relative,wlan.ta,wlan.ra
83205,280.751062000,00:00:00:00:00:08,00:00:00:00:00:21
83217,280.756706000,00:00:00:00:00:08,00:00:00:00:00:32
83221,280.766222000,00:00:00:00:00:08,00:00:00:00:00:32
83229,280.771698000,00:00:00:00:00:08,00:00:00:00:00:21
83244,280.778728000,00:00:00:00:00:08,00:00:00:00:00:21
83257,280.789668000,00:00:00:00:00:08,00:00:00:00:00:21
83278,280.834748000,00:00:00:00:00:08,00:00:00:00:00:21
83297,280.873474000,00:00:00:00:00:08,00:00:00:00:00:21
83310,280.885348000,00:00:00:00:00:08,00:00:00:00:00:21
83320,280.889245000,00:00:00:00:00:08,00:00:00:00:00:21
83332,280.907814000,00:00:00:00:00:08,00:00:00:00:00:21
83344,280.918648000,00:00:00:00:00:08,00:00:00:00:00:21
83357,280.932594000,00:00:00:00:00:08,00:00:00:00:00:21
83378,280.971431000,00:00:00:00:00:08,00:00:00:00:00:21
83389,280.976883000,00:00:00:00:00:08,00:00:00:00:00:21
83411,281.035408000,00:00:00:00:00:08,00:00:00:00:00:21
83427,281.069654000,00:00:00:00:00:08,00:00:00:00:00:21
83451,281.123748000,00:00:00:00:00:08,00:00:00:00:00:21
83470,281.166434000,00:00:00:00:00:08,00:00:00:00:00:21
83491,281.207525000,00:00:00:00:00:08,00:00:00:00:00:21
83503,281.217894000,00:00:00:00:00:08,00:00:00:00:00:21
83513,281.228628000,00:00:00:00:00:08,00:00:00:00:00:21
83529,281.248394000,00:00:00:00:00:08,00:00:00:00:00:21
83531,281.250648000,00:00:00:00:00:08,00:00:00:00:00:21
83550,281.295308000,00:00:00:00:00:08,00:00:00:00:00:21
83562,281.312168000,00:00:00:00:00:08,00:00:00:00:00:21
83583,281.346954000,00:00:00:00:00:08,00:00:00:00:00:21
83599,281.367848000,00:00:00:00:00:08,00:00:00:00:00:21
83611,281.374694000,00:00:00:00:00:08,00:00:00:00:00:21
83620,281.381674000,00:00:00:00:00:08,00:00:00:00:00:21
83638,281.414994000,00:00:00:00:00:08,00:00:00:00:00:21
83654,281.443788000,00:00:00:00:00:08,00:00:00:00:00:21
83678,281.503734000,00:00:00:00:00:08,00:00:00:00:00:21
83688,281.509233000,00:00:00:00:00:08,00:00:00:00:00:21
83757,281.768828000,00:00:00:00:00:08,00:00:00:00:00:21
83758,281.770485000,00:00:00:00:00:08,00:00:00:00:00:21
84041,282.768828000,00:00:00:00:00:08,00:00:00:00:00:21
84304,283.768448000,00:00:00:00:00:08,00:00:00:00:00:21
84586,284.768228000,00:00:00:00:00:08,00:00:00:00:00:21
84871,285.770145000,00:00:00:00:00:08,00:00:00:00:00:21
85202,286.770285000,00:00:00:00:00:08,00:00:00:00:00:21
85527,287.768966000,00:00:00:00:00:08,00:00:00:00:00:21
85868,288.768468000,00:00:00:00:00:08,00:00:00:00:00:21
86169,289.768648000,00:00:00:00:00:08,00:00:00:00:00:21
86171,289.770403000,00:00:00:00:00:08,00:00:00:00:00:21
86430,290.769155000,00:00:00:00:00:08,00:00:00:00:00:21
86642,291.769960000,00:00:00:00:00:08,00:00:00:00:00:21
86830,292.768408000,00:00:00:00:00:08,00:00:00:00:00:21
87012,293.768408000,00:00:00:00:00:08,00:00:00:00:00:21
87197,294.768608000,00:00:00:00:00:08,00:00:00:00:00:21
87402,295.768828000,00:00:00:00:00:08,00:00:00:00:00:21
87587,296.769266000,00:00:00:00:00:08,00:00:00:00:00:21
87783,297.770345000,00:00:00:00:00:08,00:00:00:00:00:21
87977,298.768768000,00:00:00:00:00:08,00:00:00:00:00:21
88166,299.768268000,00:00:00:00:00:08,00:00:00:00:00:21
88362,300.768288000,00:00:00:00:00:08,00:00:00:00:00:21
88552,301.768448000,00:00:00:00:00:08,00:00:00:00:00:21
88749,302.768288000,00:00:00:00:00:08,00:00:00:00:00:21
88950,303.768408000,00:00:00:00:00:08,00:00:00:00:00:21
89126,304.768728000,00:00:00:00:00:08,00:00:00:00:00:21
89289,305.768568000,00:00:00:00:00:08,00:00:00:00:00:21
89394,306.768568000,00:00:00:00:00:08,00:00:00:00:00:21
89504,307.768368000,00:00:00:00:00:08,00:00:00:00:00:21
89619,308.768748000,00:00:00:00:00:08,00:00:00:00:00:21
89723,309.768468000,00:00:00:00:00:08,00:00:00:00:00:21
89827,310.768688000,00:00:00:00:00:08,00:00:00:00:00:21
89932,311.768428000,00:00:00:00:00:08,00:00:00:00:00:21
90040,312.768488000,00:00:00:00:00:08,00:00:00:00:00:21
90041,312.769345000,00:00:00:00:00:08,00:00:00:00:00:21
90042,312.770622000,00:00:00:00:00:08,00:00:00:00:00:21
90043,312.772039000,00:00:00:00:00:08,00:00:00:00:00:21
90044,312.774196000,00:00:00:00:00:08,00:00:00:00:00:21
