frame.number,frame.time_relative,wlan.ta,wlan.ra
60584,326.768893000,00:00:00:00:00:32,00:00:00:00:00:08
60847,327.769394000,00:00:00:00:00:32,00:00:00:00:00:08
61155,328.768893000,00:00:00:00:00:32,00:00:00:00:00:08
61399,329.768893000,00:00:00:00:00:32,00:00:00:00:00:08
61583,330.769706000,00:00:00:00:00:32,00:00:00:00:00:08
61765,331.768893000,00:00:00:00:00:32,00:00:00:00:00:08
61946,332.768893000,00:00:00:00:00:32,00:00:00:00:00:08
62164,333.768893000,00:00:00:00:00:32,00:00:00:00:00:08
62413,334.768893000,00:00:00:00:00:32,00:00:00:00:00:08
62674,335.768893000,00:00:00:00:00:32,00:00:00:00:00:08
62931,336.768893000,00:00:00:00:00:32,00:00:00:00:00:08
63179,337.768893000,00:00:00:00:00:32,00:00:00:00:00:08
63433,338.768893000,00:00:00:00:00:32,00:00:00:00:00:08
63434,338.769710000,00:00:00:00:00:32,00:00:00:00:00:08
63435,338.772487000,00:00:00:00:00:32,00:00:00:00:00:08
63437,338.775104000,00:00:00:00:00:32,00:00:00:00:00:08
63438,338.776441000,00:00:00:00:00:32,00:00:00:00:00:08
63443,338.789840000,00:00:00:00:00:32,00:00:00:00:00:08
63444,338.795997000,00:00:00:00:00:32,00:00:00:00:00:08
63448,338.809327000,00:00:00:00:00:32,00:00:00:00:00:08
63453,338.822577000,00:00:00:00:00:32,00:00:00:00:00:08
63460,338.843406000,00:00:00:00:00:32,00:00:00:00:00:08
63461,338.847063000,00:00:00:00:00:32,00:00:00:00:00:08
63466,338.859713000,00:00:00:00:00:32,00:00:00:00:00:08
63469,338.867904000,00:00:00:00:00:32,00:00:00:00:00:08
63475,338.887796000,00:00:00:00:00:32,00:00:00:00:00:08
63481,338.909351000,00:00:00:00:00:32,00:00:00:00:00:08
63484,338.913022000,00:00:00:00:00:32,00:00:00:00:00:08
63486,338.919679000,00:00:00:00:00:32,00:00:00:00:00:08
63489,338.931974000,00:00:00:00:00:32,00:00:00:00:00:08
63498,338.954722000,00:00:00:00:00:32,00:00:00:00:00:08
63503,338.968254000,00:00:00:00:00:32,00:00:00:00:00:08
63509,338.990679000,00:00:00:00:00:32,00:00:00:00:00:08
63515,339.009887000,00:00:00:00:00:32,00:00:00:00:00:08
63520,339.027399000,00:00:00:00:00:32,00:00:00:00:00:08
63521,339.032916000,00:00:00:00:00:32,00:00:00:00:00:08
63524,339.037068000,00:00:00:00:00:32,00:00:00:00:00:08
63526,339.041003000,00:00:00:00:00:32,00:00:00:00:00:08
63530,339.062159000,00:00:00:00:00:32,00:00:00:00:00:08
63534,339.072054000,00:00:00:00:00:32,00:00:00:00:00:08
63537,339.089941000,00:00:00:00:00:32,00:00:00:00:00:08
63541,339.110011000,00:00:00:00:00:32,00:00:00:00:00:08
63545,339.121261000,00:00:00:00:00:32,00:00:00:00:00:08
63546,339.122058000,00:00:00:00:00:32,00:00:00:00:00:08
63550,339.135014000,00:00:00:00:00:32,00:00:00:00:00:08
63551,339.137531000,00:00:00:00:00:32,00:00:00:00:00:08
63552,339.138548000,00:00:00:00:00:32,00:00:00:00:00:08
63553,339.142205000,00:00:00:00:00:32,00:00:00:00:00:08
63554,339.153119000,00:00:00:00:00:32,00:00:00:00:00:08
63556,339.158156000,00:00:00:00:00:32,00:00:00:00:00:08
63563,339.177946000,00:00:00:00:00:32,00:00:00:00:00:08
63566,339.191958000,00:00:00:00:00:32,00:00:00:00:00:08
63568,339.201253000,00:00:00:00:00:32,00:00:00:00:00:08
63575,339.236822000,00:00:00:00:00:32,00:00:00:00:00:08
63581,339.250253000,00:00:00:00:00:32,00:00:00:00:00:08
63586,339.267713000,00:00:00:00:00:32,00:00:00:00:00:08
63590,339.281544000,00:00:00:00:00:32,00:00:00:00:00:08
63593,339.287359000,00:00:00:00:00:32,00:00:00:00:00:08
63595,339.289353000,00:00:00:00:00:32,00:00:00:00:00:08
63601,339.309908000,00:00:00:00:00:32,00:00:00:00:00:08
63604,339.319342000,00:00:00:00:00:32,00:00:00:00:00:08
63609,339.335073000,00:00:00:00:00:32,00:00:00:00:00:08
63611,339.341348000,00:00:00:00:00:32,00:00:00:00:00:08
63617,339.355905000,00:00:00:00:00:32,00:00:00:00:00:08
63618,339.356682000,00:00:00:00:00:32,00:00:00:00:00:08
63620,339.369353000,00:00:00:00:00:32,00:00:00:00:00:08
63626,339.384059000,00:00:00:00:00:32,00:00:00:00:00:08
63628,339.387356000,00:00:00:00:00:32,00:00:00:00:00:08
63630,339.401813000,00:00:00:00:00:32,00:00:00:00:00:08
63636,339.415747000,00:00:00:00:00:32,00:00:00:00:00:08
63643,339.430862000,00:00:00:00:00:32,00:00:00:00:00:08
63645,339.441679000,00:00:00:00:00:32,00:00:00:00:00:08
63651,339.460390000,00:00:00:00:00:32,00:00:00:00:00:08
63658,339.472499000,00:00:00:00:00:32,00:00:00:00:00:08
63662,339.485793000,00:00:00:00:00:32,00:00:00:00:00:08
63666,339.492707000,00:00:00:00:00:32,00:00:00:00:00:08
63669,339.513262000,00:00:00:00:00:32,00:00:00:00:00:08
63675,339.529333000,00:00:00:00:00:32,00:00:00:00:00:08
63678,339.540888000,00:00:00:00:00:32,00:00:00:00:00:08
63682,339.561659000,00:00:00:00:00:32,00:00:00:00:00:08
63687,339.568713000,00:00:00:00:00:32,00:00:00:00:00:08
63691,339.579108000,00:00:00:00:00:32,00:00:00:00:00:08
63694,339.593422000,00:00:00:00:00:32,00:00:00:00:00:08
63701,339.630527000,00:00:00:00:00:32,00:00:00:00:00:08
63702,339.636664000,00:00:00:00:00:32,00:00:00:00:00:08
63709,339.657679000,00:00:00:00:00:32,00:00:00:00:00:08
63715,339.675253000,00:00:00:00:00:32,00:00:00:00:00:08
63722,339.694468000,00:00:00:00:00:32,00:00:00:00:00:08
63729,339.710322000,00:00:00:00:00:32,00:00:00:00:00:08
63734,339.726873000,00:00:00:00:00:32,00:00:00:00:00:08
63741,339.746785000,00:00:00:00:00:32,00:00:00:00:00:08
63746,339.763696000,00:00:00:00:00:32,00:00:00:00:00:08
63748,339.768853000,00:00:00:00:00:32,00:00:00:00:00:08
63750,339.775670000,00:00:00:00:00:32,00:00:00:00:00:08
63755,339.787104000,00:00:00:00:00:32,00:00:00:00:00:08
63759,339.800139000,00:00:00:00:00:32,00:00:00:00:00:08
63766,339.819267000,00:00:00:00:00:32,00:00:00:00:00:08
63769,339.828762000,00:00:00:00:00:32,00:00:00:00:00:08
63773,339.836433000,00:00:00:00:00:32,00:00:00:00:00:08
63778,339.855104000,00:00:00:00:00:32,00:00:00:00:00:08
63781,339.866081000,00:00:00:00:00:32,00:00:00:00:00:08
63783,339.871836000,00:00:00:00:00:32,00:00:00:00:00:08
63790,339.890087000,00:00:00:00:00:32,00:00:00:00:00:08
63794,339.909201000,00:00:00:00:00:32,00:00:00:00:00:08
63800,339.921476000,00:00:00:00:00:32,00:00:00:00:00:08
63802,339.931393000,00:00:00:00:00:32,00:00:00:00:00:08
63804,339.939327000,00:00:00:00:00:32,00:00:00:00:00:08
63808,339.944299000,00:00:00:00:00:32,00:00:00:00:00:08
63812,339.960130000,00:00:00:00:00:32,00:00:00:00:00:08
63814,339.964447000,00:00:00:00:00:32,00:00:00:00:00:08
63821,339.978125000,00:00:00:00:00:32,00:00:00:00:00:08
63823,339.983942000,00:00:00:00:00:32,00:00:00:00:00:08
63826,339.999516000,00:00:00:00:00:32,00:00:00:00:00:08
63832,340.012511000,00:00:00:00:00:32,00:00:00:00:00:08
63839,340.033959000,00:00:00:00:00:32,00:00:00:00:00:08
63843,340.054973000,00:00:00:00:00:32,00:00:00:00:00:08
63847,340.062668000,00:00:00:00:00:32,00:00:00:00:00:08
63853,340.079376000,00:00:00:00:00:32,00:00:00:00:00:08
63856,340.092213000,00:00:00:00:00:32,00:00:00:00:00:08
63860,340.116219000,00:00:00:00:00:32,00:00:00:00:00:08
63865,340.128053000,00:00:00:00:00:32,00:00:00:00:00:08
63867,340.135570000,00:00:00:00:00:32,00:00:00:00:00:08
63873,340.152819000,00:00:00:00:00:32,00:00:00:00:00:08
63877,340.162913000,00:00:00:00:00:32,00:00:00:00:00:08
63884,340.183544000,00:00:00:00:00:32,00:00:00:00:00:08
63887,340.190379000,00:00:00:00:00:32,00:00:00:00:00:08
63888,340.191836000,00:00:00:00:00:32,00:00:00:00:00:08
63892,340.208350000,00:00:00:00:00:32,00:00:00:00:00:08
63896,340.220601000,00:00:00:00:00:32,00:00:00:00:00:08
63898,340.229038000,00:00:00:00:00:32,00:00:00:00:00:08
63904,340.250470000,00:00:00:00:00:32,00:00:00:00:00:08
63907,340.257144000,00:00:00:00:00:32,00:00:00:00:00:08
63910,340.269618000,00:00:00:00:00:32,00:00:00:00:00:08
63912,340.276075000,00:00:00:00:00:32,00:00:00:00:00:08
63921,340.295267000,00:00:00:00:00:32,00:00:00:00:00:08
63924,340.310401000,00:00:00:00:00:32,00:00:00:00:00:08
63930,340.330855000,00:00:00:00:00:32,00:00:00:00:00:08
63936,340.352350000,00:00:00:00:00:32,00:00:00:00:00:08
63937,340.357604000,00:00:00:00:00:32,00:00:00:00:00:08
63943,340.376098000,00:00:00:00:00:32,00:00:00:00:00:08
63948,340.390532000,00:00:00:00:00:32,00:00:00:00:00:08
63952,340.406007000,00:00:00:00:00:32,00:00:00:00:00:08
63961,340.438672000,00:00:00:00:00:32,00:00:00:00:00:08
63964,340.453804000,00:00:00:00:00:32,00:00:00:00:00:08
63967,340.464761000,00:00:00:00:00:32,00:00:00:00:00:08
63971,340.480615000,00:00:00:00:00:32,00:00:00:00:00:08
63973,340.482992000,00:00:00:00:00:32,00:00:00:00:00:08
63977,340.492566000,00:00:00:00:00:32,00:00:00:00:00:08
63981,340.503078000,00:00:00:00:00:32,00:00:00:00:00:08
63985,340.517632000,00:00:00:00:00:32,00:00:00:00:00:08
63987,340.523409000,00:00:00:00:00:32,00:00:00:00:00:08
63988,340.533143000,00:00:00:00:00:32,00:00:00:00:00:08
63994,340.557709000,00:00:00:00:00:32,00:00:00:00:00:08
63997,340.574643000,00:00:00:00:00:32,00:00:00:00:00:08
64002,340.604171000,00:00:00:00:00:32,00:00:00:00:00:08
64004,340.609206000,00:00:00:00:00:32,00:00:00:00:00:08
64006,340.616240000,00:00:00:00:00:32,00:00:00:00:00:08
64007,340.622317000,00:00:00:00:00:32,00:00:00:00:00:08
64010,340.632688000,00:00:00:00:00:32,00:00:00:00:00:08
64018,340.649617000,00:00:00:00:00:32,00:00:00:00:00:08
64019,340.655554000,00:00:00:00:00:32,00:00:00:00:00:08
64021,340.657831000,00:00:00:00:00:32,00:00:00:00:00:08
64023,340.665025000,00:00:00:00:00:32,00:00:00:00:00:08
64028,340.680330000,00:00:00:00:00:32,00:00:00:00:00:08
64030,340.681827000,00:00:00:00:00:32,00:00:00:00:00:08
64033,340.696884000,00:00:00:00:00:32,00:00:00:00:00:08
64037,340.712679000,00:00:00:00:00:32,00:00:00:00:00:08
64041,340.728310000,00:00:00:00:00:32,00:00:00:00:00:08
64043,340.731827000,00:00:00:00:00:32,00:00:00:00:00:08
64046,340.741061000,00:00:00:00:00:32,00:00:00:00:00:08
64047,340.744218000,00:00:00:00:00:32,00:00:00:00:00:08
64048,340.745075000,00:00:00:00:00:32,00:00:00:00:00:08
64050,340.750510000,00:00:00:00:00:32,00:00:00:00:00:08
64054,340.772358000,00:00:00:00:00:32,00:00:00:00:00:08
64057,340.776492000,00:00:00:00:00:32,00:00:00:00:00:08
64060,340.787767000,00:00:00:00:00:32,00:00:00:00:00:08
64065,340.801401000,00:00:00:00:00:32,00:00:00:00:00:08
64067,340.806578000,00:00:00:00:00:32,00:00:00:00:00:08
64069,340.813352000,00:00:00:00:00:32,00:00:00:00:00:08
64070,340.815749000,00:00:00:00:00:32,00:00:00:00:00:08
64073,340.824166000,00:00:00:00:00:32,00:00:00:00:00:08
64079,340.841081000,00:00:00:00:00:32,00:00:00:00:00:08
64083,340.856832000,00:00:00:00:00:32,00:00:00:00:00:08
64084,340.861949000,00:00:00:00:00:32,00:00:00:00:00:08
64088,340.869780000,00:00:00:00:00:32,00:00:00:00:00:08
64090,340.873437000,00:00:00:00:00:32,00:00:00:00:00:08
64091,340.882054000,00:00:00:00:00:32,00:00:00:00:00:08
64097,340.895066000,00:00:00:00:00:32,00:00:00:00:00:08
64098,340.896843000,00:00:00:00:00:32,00:00:00:00:00:08
64103,340.915017000,00:00:00:00:00:32,00:00:00:00:00:08
64106,340.933231000,00:00:00:00:00:32,00:00:00:00:00:08
