frame.number,frame.time_relative,wlan.ta,wlan.ra
31,0.283271000,00:00:00:00:00:03,00:00:00:00:00:08
53,0.319263000,00:00:00:00:00:03,00:00:00:00:00:08
136,0.786161000,00:00:00:00:00:03,00:00:00:00:00:08
234,1.284592000,00:00:00:00:00:04,00:00:00:00:00:08
289,1.313582000,00:00:00:00:00:04,00:00:00:00:00:08
291,1.470154000,00:00:00:00:00:03,00:00:00:00:00:08
293,1.472430000,00:00:00:00:00:04,00:00:00:00:00:08
295,1.474645000,00:00:00:00:00:04,00:00:00:00:00:08
350,2.470254000,00:00:00:00:00:03,00:00:00:00:00:08
352,2.472970000,00:00:00:00:00:04,00:00:00:00:00:08
367,2.741796000,00:00:00:00:00:04,00:00:00:00:00:08
393,3.469894000,00:00:00:00:00:04,00:00:00:00:00:08
395,3.473708000,00:00:00:00:00:03,00:00:00:00:00:08
427,4.469934000,00:00:00:00:00:04,00:00:00:00:00:08
429,4.473588000,00:00:00:00:00:03,00:00:00:00:00:08
461,5.470014000,00:00:00:00:00:03,00:00:00:00:00:08
463,5.473469000,00:00:00:00:00:04,00:00:00:00:00:08
495,6.470974000,00:00:00:00:00:03,00:00:00:00:00:08
496,6.471646000,00:00:00:00:00:04,00:00:00:00:00:08
498,6.472963000,00:00:00:00:00:03,00:00:00:00:00:08
530,7.471772000,00:00:00:00:00:03,00:00:00:00:00:08
532,7.472791000,00:00:00:00:00:04,00:00:00:00:00:08
564,8.470494000,00:00:00:00:00:03,00:00:00:00:00:08
566,8.474029000,00:00:00:00:00:04,00:00:00:00:00:08
598,9.470114000,00:00:00:00:00:03,00:00:00:00:00:08
600,9.471353000,00:00:00:00:00:04,00:00:00:00:00:08
632,10.470014000,00:00:00:00:00:04,00:00:00:00:00:08
634,10.473648000,00:00:00:00:00:03,00:00:00:00:00:08
666,11.470314000,00:00:00:00:00:03,00:00:00:00:00:08
667,11.470886000,00:00:00:00:00:04,00:00:00:00:00:08
669,11.473901000,00:00:00:00:00:03,00:00:00:00:00:08
701,12.470034000,00:00:00:00:00:04,00:00:00:00:00:08
703,12.472769000,00:00:00:00:00:03,00:00:00:00:00:08
735,13.470354000,00:00:00:00:00:04,00:00:00:00:00:08
737,13.471492000,00:00:00:00:00:03,00:00:00:00:00:08
769,14.469994000,00:00:00:00:00:03,00:00:00:00:00:08
771,14.474846000,00:00:00:00:00:04,00:00:00:00:00:08
803,15.470414000,00:00:00:00:00:03,00:00:00:00:00:08
804,15.472529000,00:00:00:00:00:04,00:00:00:00:00:08
805,15.474107000,00:00:00:00:00:03,00:00:00:00:00:08
807,15.476683000,00:00:00:00:00:04,00:00:00:00:00:08
839,16.472710000,00:00:00:00:00:04,00:00:00:00:00:08
841,16.473847000,00:00:00:00:00:03,00:00:00:00:00:08
873,17.470972000,00:00:00:00:00:04,00:00:00:00:00:08
875,17.472250000,00:00:00:00:00:03,00:00:00:00:00:08
907,18.470234000,00:00:00:00:00:04,00:00:00:00:00:08
909,18.471432000,00:00:00:00:00:03,00:00:00:00:00:08
942,19.470354000,00:00:00:00:00:03,00:00:00:00:00:08
944,19.472831000,00:00:00:00:00:04,00:00:00:00:00:08
976,20.470014000,00:00:00:00:00:03,00:00:00:00:00:08
978,20.473189000,00:00:00:00:00:04,00:00:00:00:00:08
1011,21.470094000,00:00:00:00:00:04,00:00:00:00:00:08
1013,21.472949000,00:00:00:00:00:03,00:00:00:00:00:08
1014,21.474166000,00:00:00:00:00:03,00:00:00:00:00:08
1046,22.470434000,00:00:00:00:00:03,00:00:00:00:00:08
1047,22.471386000,00:00:00:00:00:04,00:00:00:00:00:08
1049,22.477117000,00:00:00:00:00:03,00:00:00:00:00:08
1081,23.470294000,00:00:00:00:00:03,00:00:00:00:00:08
1083,23.472510000,00:00:00:00:00:04,00:00:00:00:00:08
1115,24.470994000,00:00:00:00:00:03,00:00:00:00:00:08
1116,24.471686000,00:00:00:00:00:04,00:00:00:00:00:08
1118,24.475081000,00:00:00:00:00:03,00:00:00:00:00:08
1119,24.480634000,00:00:00:00:00:03,00:00:00:00:00:08
1151,25.469914000,00:00:00:00:00:03,00:00:00:00:00:08
1153,25.472530000,00:00:00:00:00:04,00:00:00:00:00:08
1185,26.469894000,00:00:00:00:00:04,00:00:00:00:00:08
1187,26.473708000,00:00:00:00:00:03,00:00:00:00:00:08
1219,27.469974000,00:00:00:00:00:04,00:00:00:00:00:08
1221,27.472549000,00:00:00:00:00:03,00:00:00:00:00:08
1222,27.473506000,00:00:00:00:00:03,00:00:00:00:00:08
1254,28.471012000,00:00:00:00:00:04,00:00:00:00:00:08
1256,28.474766000,00:00:00:00:00:03,00:00:00:00:00:08
1288,29.472650000,00:00:00:00:00:03,00:00:00:00:00:08
1290,29.473729000,00:00:00:00:00:04,00:00:00:00:00:08
1322,30.470314000,00:00:00:00:00:03,00:00:00:00:00:08
1324,30.473989000,00:00:00:00:00:04,00:00:00:00:00:08
1356,31.470294000,00:00:00:00:00:04,00:00:00:00:00:08
1358,31.472989000,00:00:00:00:00:03,00:00:00:00:00:08
1359,31.475426000,00:00:00:00:00:03,00:00:00:00:00:08
1391,32.470214000,00:00:00:00:00:03,00:00:00:00:00:08
1393,32.474009000,00:00:00:00:00:04,00:00:00:00:00:08
1425,33.471932000,00:00:00:00:00:03,00:00:00:00:00:08
1426,33.473090000,00:00:00:00:00:04,00:00:00:00:00:08
1428,33.476325000,00:00:00:00:00:03,00:00:00:00:00:08
1460,34.470094000,00:00:00:00:00:03,00:00:00:00:00:08
1462,34.475106000,00:00:00:00:00:04,00:00:00:00:00:08
1494,35.471652000,00:00:00:00:00:03,00:00:00:00:00:08
1496,35.473929000,00:00:00:00:00:04,00:00:00:00:00:08
1528,36.470514000,00:00:00:00:00:03,00:00:00:00:00:08
1529,36.473687000,00:00:00:00:00:04,00:00:00:00:00:08
1531,36.476222000,00:00:00:00:00:03,00:00:00:00:00:08
1563,37.471252000,00:00:00:00:00:03,00:00:00:00:00:08
1565,37.475108000,00:00:00:00:00:04,00:00:00:00:00:08
1597,38.469914000,00:00:00:00:00:03,00:00:00:00:00:08
1599,38.474109000,00:00:00:00:00:04,00:00:00:00:00:08
1631,39.469954000,00:00:00:00:00:04,00:00:00:00:00:08
1633,39.472369000,00:00:00:00:00:03,00:00:00:00:00:08
1634,39.474386000,00:00:00:00:00:03,00:00:00:00:00:08
1666,40.472630000,00:00:00:00:00:04,00:00:00:00:00:08
1668,40.473787000,00:00:00:00:00:03,00:00:00:00:00:08
1700,41.469894000,00:00:00:00:00:03,00:00:00:00:00:08
1702,41.475046000,00:00:00:00:00:04,00:00:00:00:00:08
1734,42.470314000,00:00:00:00:00:04,00:00:00:00:00:08
1736,42.472909000,00:00:00:00:00:03,00:00:00:00:00:08
1737,42.477522000,00:00:00:00:00:03,00:00:00:00:00:08
1769,43.469914000,00:00:00:00:00:04,00:00:00:00:00:08
1771,43.471012000,00:00:00:00:00:03,00:00:00:00:00:08
1772,43.471829000,00:00:00:00:00:03,00:00:00:00:00:08
1804,44.469914000,00:00:00:00:00:04,00:00:00:00:00:08
1806,44.474685000,00:00:00:00:00:03,00:00:00:00:00:08
1838,45.470294000,00:00:00:00:00:04,00:00:00:00:00:08
1840,45.473768000,00:00:00:00:00:03,00:00:00:00:00:08
1872,46.470074000,00:00:00:00:00:03,00:00:00:00:00:08
1874,46.474888000,00:00:00:00:00:04,00:00:00:00:00:08
1906,47.470274000,00:00:00:00:00:03,00:00:00:00:00:08
1907,47.473647000,00:00:00:00:00:04,00:00:00:00:00:08
1909,47.477062000,00:00:00:00:00:03,00:00:00:00:00:08
1941,48.470894000,00:00:00:00:00:04,00:00:00:00:00:08
1943,48.472032000,00:00:00:00:00:03,00:00:00:00:00:08
1944,48.475901000,00:00:00:00:00:03,00:00:00:00:00:08
1945,48.482834000,00:00:00:00:00:03,00:00:00:00:00:08
1977,49.470754000,00:00:00:00:00:03,00:00:00:00:00:08
1978,49.471306000,00:00:00:00:00:04,00:00:00:00:00:08
1980,49.472523000,00:00:00:00:00:03,00:00:00:00:00:08
2012,50.470274000,00:00:00:00:00:04,00:00:00:00:00:08
2014,50.471392000,00:00:00:00:00:03,00:00:00:00:00:08
2046,51.469974000,00:00:00:00:00:04,00:00:00:00:00:08
2048,51.472569000,00:00:00:00:00:03,00:00:00:00:00:08
2081,52.470154000,00:00:00:00:00:04,00:00:00:00:00:08
2083,52.471432000,00:00:00:00:00:03,00:00:00:00:00:08
2084,52.476897000,00:00:00:00:00:03,00:00:00:00:00:08
2116,53.470194000,00:00:00:00:00:04,00:00:00:00:00:08
2118,53.473748000,00:00:00:00:00:03,00:00:00:00:00:08
2150,54.472610000,00:00:00:00:00:03,00:00:00:00:00:08
2152,54.475106000,00:00:00:00:00:04,00:00:00:00:00:08
2184,55.470394000,00:00:00:00:00:03,00:00:00:00:00:08
2186,55.472550000,00:00:00:00:00:04,00:00:00:00:00:08
2218,56.469894000,00:00:00:00:00:03,00:00:00:00:00:08
2220,56.473529000,00:00:00:00:00:04,00:00:00:00:00:08
2252,57.470094000,00:00:00:00:00:04,00:00:00:00:00:08
2254,57.473009000,00:00:00:00:00:03,00:00:00:00:00:08
2255,57.475905000,00:00:00:00:00:03,00:00:00:00:00:08
