53,0.297476000,,00:00:00:00:00:08
65,0.384534000,,00:00:00:00:00:08
75,0.398794000,,00:00:00:00:00:08
85,0.406034000,,00:00:00:00:00:08
95,0.432074000,,00:00:00:00:00:08
155,8.201650000,,00:00:00:00:00:08
167,16.201950000,,00:00:00:00:00:08
179,24.201610000,,00:00:00:00:00:08
191,32.202010000,,00:00:00:00:00:08
203,40.201910000,,00:00:00:00:00:08
215,48.202110000,,00:00:00:00:00:08
227,56.201950000,,00:00:00:00:00:08
239,64.201970000,,00:00:00:00:00:08
251,72.201690000,,00:00:00:00:00:08
263,80.201730000,,00:00:00:00:00:08
275,88.201810000,,00:00:00:00:00:08
287,96.201950000,,00:00:00:00:00:08
299,104.201650000,,00:00:00:00:00:08
311,112.201770000,,00:00:00:00:00:08
323,120.201590000,,00:00:00:00:00:08
343,128.216572000,,00:00:00:00:00:08
357,136.201630000,,00:00:00:00:00:08
369,144.201990000,,00:00:00:00:00:08
381,152.201910000,,00:00:00:00:00:08
393,160.201510000,,00:00:00:00:00:08
405,168.201930000,,00:00:00:00:00:08
417,176.201790000,,00:00:00:00:00:08
429,184.202090000,,00:00:00:00:00:08
441,192.202010000,,00:00:00:00:00:08
453,200.202010000,,00:00:00:00:00:08
465,208.202130000,,00:00:00:00:00:08
477,216.201830000,,00:00:00:00:00:08
489,224.202110000,,00:00:00:00:00:08
501,232.201550000,,00:00:00:00:00:08
513,240.201790000,,00:00:00:00:00:08
525,248.201750000,,00:00:00:00:00:08
545,256.213012000,,00:00:00:00:00:08
559,264.201870000,,00:00:00:00:00:08
571,272.201930000,,00:00:00:00:00:08
583,280.201650000,,00:00:00:00:00:08
595,288.201730000,,00:00:00:00:00:08
607,296.202070000,,00:00:00:00:00:08
619,304.201850000,,00:00:00:00:00:08
631,312.202090000,,00:00:00:00:00:08
643,320.201850000,,00:00:00:00:00:08
655,328.202090000,,00:00:00:00:00:08
667,336.202130000,,00:00:00:00:00:08
679,344.201610000,,00:00:00:00:00:08
691,352.201930000,,00:00:00:00:00:08
703,360.201890000,,00:00:00:00:00:08
715,368.201830000,,00:00:00:00:00:08
727,376.202090000,,00:00:00:00:00:08
747,384.205432000,,00:00:00:00:00:08
