frame.number,frame.time_relative,wlan.ta,wlan.ra
62961,280.784042000,00:00:00:00:00:08,00:00:00:00:00:21
62970,280.789686000,00:00:00:00:00:08,00:00:00:00:00:32
62976,280.799202000,00:00:00:00:00:08,00:00:00:00:00:32
62987,280.804678000,00:00:00:00:00:08,00:00:00:00:00:21
62995,280.811708000,00:00:00:00:00:08,00:00:00:00:00:21
63002,280.822648000,00:00:00:00:00:08,00:00:00:00:00:21
63012,280.867728000,00:00:00:00:00:08,00:00:00:00:00:21
63021,280.906454000,00:00:00:00:00:08,00:00:00:00:00:21
63028,280.918328000,00:00:00:00:00:08,00:00:00:00:00:21
63035,280.922225000,00:00:00:00:00:08,00:00:00:00:00:21
63042,280.940794000,00:00:00:00:00:08,00:00:00:00:00:21
63048,280.951628000,00:00:00:00:00:08,00:00:00:00:00:21
63057,280.965574000,00:00:00:00:00:08,00:00:00:00:00:21
63071,281.004411000,00:00:00:00:00:08,00:00:00:00:00:21
63078,281.009863000,00:00:00:00:00:08,00:00:00:00:00:21
63090,281.068388000,00:00:00:00:00:08,00:00:00:00:00:21
63098,281.102634000,00:00:00:00:00:08,00:00:00:00:00:21
63109,281.156728000,00:00:00:00:00:08,00:00:00:00:00:21
63120,281.199414000,00:00:00:00:00:08,00:00:00:00:00:21
63130,281.240505000,00:00:00:00:00:08,00:00:00:00:00:21
63138,281.250874000,00:00:00:00:00:08,00:00:00:00:00:21
63144,281.261608000,00:00:00:00:00:08,00:00:00:00:00:21
63152,281.281374000,00:00:00:00:00:08,00:00:00:00:00:21
63153,281.283628000,00:00:00:00:00:08,00:00:00:00:00:21
63162,281.328288000,00:00:00:00:00:08,00:00:00:00:00:21
63170,281.345148000,00:00:00:00:00:08,00:00:00:00:00:21
63179,281.379934000,00:00:00:00:00:08,00:00:00:00:00:21
63187,281.400828000,00:00:00:00:00:08,00:00:00:00:00:21
63194,281.407674000,00:00:00:00:00:08,00:00:00:00:00:21
63201,281.414654000,00:00:00:00:00:08,00:00:00:00:00:21
63209,281.447974000,00:00:00:00:00:08,00:00:00:00:00:21
63217,281.476768000,00:00:00:00:00:08,00:00:00:00:00:21
63227,281.536714000,00:00:00:00:00:08,00:00:00:00:00:21
63234,281.542213000,00:00:00:00:00:08,00:00:00:00:00:21
63262,281.801808000,00:00:00:00:00:08,00:00:00:00:00:21
63263,281.803465000,00:00:00:00:00:08,00:00:00:00:00:21
63363,282.801808000,00:00:00:00:00:08,00:00:00:00:00:21
63458,283.801428000,00:00:00:00:00:08,00:00:00:00:00:21
63564,284.801208000,00:00:00:00:00:08,00:00:00:00:00:21
63664,285.803125000,00:00:00:00:00:08,00:00:00:00:00:21
63766,286.803265000,00:00:00:00:00:08,00:00:00:00:00:21
63861,287.801946000,00:00:00:00:00:08,00:00:00:00:00:21
63957,288.801448000,00:00:00:00:00:08,00:00:00:00:00:21
64060,289.801628000,00:00:00:00:00:08,00:00:00:00:00:21
64061,289.803383000,00:00:00:00:00:08,00:00:00:00:00:21
64169,290.802135000,00:00:00:00:00:08,00:00:00:00:00:21
64263,291.802940000,00:00:00:00:00:08,00:00:00:00:00:21
64368,292.801388000,00:00:00:00:00:08,00:00:00:00:00:21
64472,293.801388000,00:00:00:00:00:08,00:00:00:00:00:21
64574,294.801588000,00:00:00:00:00:08,00:00:00:00:00:21
64677,295.801808000,00:00:00:00:00:08,00:00:00:00:00:21
64785,296.802246000,00:00:00:00:00:08,00:00:00:00:00:21
64886,297.803325000,00:00:00:00:00:08,00:00:00:00:00:21
64994,298.801748000,00:00:00:00:00:08,00:00:00:00:00:21
65092,299.801248000,00:00:00:00:00:08,00:00:00:00:00:21
65207,300.801269000,00:00:00:00:00:08,00:00:00:00:00:21
65314,301.801429000,00:00:00:00:00:08,00:00:00:00:00:21
65413,302.801269000,00:00:00:00:00:08,00:00:00:00:00:21
65513,303.801389000,00:00:00:00:00:08,00:00:00:00:00:21
65606,304.801709000,00:00:00:00:00:08,00:00:00:00:00:21
65704,305.801549000,00:00:00:00:00:08,00:00:00:00:00:21
65811,306.801549000,00:00:00:00:00:08,00:00:00:00:00:21
65912,307.801349000,00:00:00:00:00:08,00:00:00:00:00:21
74885,377.697524000,00:00:00:00:00:08,00:00:00:00:00:05
74893,377.700694000,00:00:00:00:00:08,00:00:00:00:00:0b
74903,378.031405000,00:00:00:00:00:08,00:00:00:00:00:31
74920,378.777754000,00:00:00:00:00:08,00:00:00:00:00:0a
75114,380.772741000,00:00:00:00:00:08,00:00:00:00:00:07
75122,380.774942000,00:00:00:00:00:08,00:00:00:00:00:10
76475,386.370102000,00:00:00:00:00:08,00:00:00:00:00:32
76493,386.379628000,00:00:00:00:00:08,00:00:00:00:00:05
76505,386.395042000,00:00:00:00:00:08,00:00:00:00:00:05
76537,386.483262000,00:00:00:00:00:08,00:00:00:00:00:05
