frame.number,frame.time_relative,wlan.ta,wlan.ra
7,0.281222000,00:00:00:00:00:08,00:00:00:00:00:03
14,0.286012000,00:00:00:00:00:08,00:00:00:00:00:05
19,0.296961000,00:00:00:00:00:08,00:00:00:00:00:04
23,0.503357000,00:00:00:00:00:08,00:00:00:00:00:0c
31,0.505806000,00:00:00:00:00:08,00:00:00:00:00:04
39,0.772034000,00:00:00:00:00:08,00:00:00:00:00:05
44,1.276671000,00:00:00:00:00:08,00:00:00:00:00:03
46,1.287432000,00:00:00:00:00:08,00:00:00:00:00:05
48,1.288715000,00:00:00:00:00:08,00:00:00:00:00:04
56,1.293309000,00:00:00:00:00:08,00:00:00:00:00:03
61,1.297209000,00:00:00:00:00:08,00:00:00:00:00:03
68,1.301187000,00:00:00:00:00:08,00:00:00:00:00:0c
76,1.454610000,00:00:00:00:00:08,00:00:00:00:00:0c
80,1.455809000,00:00:00:00:00:08,00:00:00:00:00:0c
86,1.473933000,00:00:00:00:00:08,00:00:00:00:00:0c
92,2.453052000,00:00:00:00:00:08,00:00:00:00:00:0c
98,2.455727000,00:00:00:00:00:08,00:00:00:00:00:0c
102,2.641185000,00:00:00:00:00:08,00:00:00:00:00:05
106,2.643428000,00:00:00:00:00:08,00:00:00:00:00:0c
112,2.686145000,00:00:00:00:00:08,00:00:00:00:00:0c
118,2.724815000,00:00:00:00:00:08,00:00:00:00:00:05
120,2.725841000,00:00:00:00:00:08,00:00:00:00:00:0c
128,3.454148000,00:00:00:00:00:08,00:00:00:00:00:0c
132,3.455307000,00:00:00:00:00:08,00:00:00:00:00:0c
138,3.458644000,00:00:00:00:00:08,00:00:00:00:00:0c
146,4.453669000,00:00:00:00:00:08,00:00:00:00:00:0c
150,4.454908000,00:00:00:00:00:08,00:00:00:00:00:0c
156,4.458144000,00:00:00:00:00:08,00:00:00:00:00:0c
162,5.452852000,00:00:00:00:00:08,00:00:00:00:00:0c
168,5.455547000,00:00:00:00:00:08,00:00:00:00:00:0c
174,5.458142000,00:00:00:00:00:08,00:00:00:00:00:0c
