frame.number,frame.time_relative,wlan.ta,wlan.ra
27,0.286798000,00:00:00:00:00:03,00:00:00:00:00:08
32,0.294958000,00:00:00:00:00:05,00:00:00:00:00:08
63,0.321731000,00:00:00:00:00:05,00:00:00:00:00:08
68,0.325284000,00:00:00:00:00:03,00:00:00:00:00:08
87,0.331625000,00:00:00:00:00:04,00:00:00:00:00:08
108,0.511795000,00:00:00:00:00:0c,00:00:00:00:00:08
156,0.563198000,00:00:00:00:00:04,00:00:00:00:00:08
161,0.573672000,00:00:00:00:00:0c,00:00:00:00:00:08
209,1.460903000,00:00:00:00:00:04,00:00:00:00:00:08
217,1.463339000,00:00:00:00:00:03,00:00:00:00:00:08
236,1.532126000,00:00:00:00:00:04,00:00:00:00:00:08
253,2.461263000,00:00:00:00:00:03,00:00:00:00:00:08
261,2.463739000,00:00:00:00:00:04,00:00:00:00:00:08
274,2.651420000,00:00:00:00:00:05,00:00:00:00:00:08
282,2.705057000,00:00:00:00:00:05,00:00:00:00:00:08
301,2.733641000,00:00:00:00:00:04,00:00:00:00:00:08
319,3.461083000,00:00:00:00:00:05,00:00:00:00:00:08
323,3.462221000,00:00:00:00:00:04,00:00:00:00:00:08
327,3.463359000,00:00:00:00:00:03,00:00:00:00:00:08
349,4.460843000,00:00:00:00:00:04,00:00:00:00:00:08
353,4.461901000,00:00:00:00:00:05,00:00:00:00:00:08
361,4.464017000,00:00:00:00:00:03,00:00:00:00:00:08
379,5.461063000,00:00:00:00:00:04,00:00:00:00:00:08
387,5.466236000,00:00:00:00:00:03,00:00:00:00:00:08
395,5.468572000,00:00:00:00:00:05,00:00:00:00:00:08
410,6.461283000,00:00:00:00:00:04,00:00:00:00:00:08
418,6.464616000,00:00:00:00:00:03,00:00:00:00:00:08
426,6.468512000,00:00:00:00:00:05,00:00:00:00:00:08
441,7.461203000,00:00:00:00:00:04,00:00:00:00:00:08
449,7.463479000,00:00:00:00:00:03,00:00:00:00:00:08
453,7.464717000,00:00:00:00:00:05,00:00:00:00:00:08
471,8.461023000,00:00:00:00:00:03,00:00:00:00:00:08
479,8.463320000,00:00:00:00:00:05,00:00:00:00:00:08
483,8.464537000,00:00:00:00:00:04,00:00:00:00:00:08
502,9.460803000,00:00:00:00:00:04,00:00:00:00:00:08
510,9.465436000,00:00:00:00:00:03,00:00:00:00:00:08
518,9.468132000,00:00:00:00:00:05,00:00:00:00:00:08
533,10.460843000,00:00:00:00:00:04,00:00:00:00:00:08
537,10.462161000,00:00:00:00:00:05,00:00:00:00:00:08
545,10.464517000,00:00:00:00:00:03,00:00:00:00:00:08
564,11.461223000,00:00:00:00:00:04,00:00:00:00:00:08
568,11.462281000,00:00:00:00:00:03,00:00:00:00:00:08
580,11.465756000,00:00:00:00:00:05,00:00:00:00:00:08
594,12.462394000,00:00:00:00:00:04,00:00:00:00:00:08
