frame.number,frame.time_relative,wlan.ta,wlan.ra
131,0.588681000,00:00:00:00:00:03,00:00:00:00:00:08
240,1.499959000,00:00:00:00:00:03,00:00:00:00:00:08
246,1.532708000,00:00:00:00:00:03,00:00:00:00:00:08
273,2.499959000,00:00:00:00:00:03,00:00:00:00:00:08
274,2.503172000,00:00:00:00:00:03,00:00:00:00:00:08
298,3.499959000,00:00:00:00:00:03,00:00:00:00:00:08
299,3.504470000,00:00:00:00:00:03,00:00:00:00:00:08
318,4.499959000,00:00:00:00:00:03,00:00:00:00:00:08
319,4.503132000,00:00:00:00:00:03,00:00:00:00:00:08
338,5.499959000,00:00:00:00:00:03,00:00:00:00:00:08
339,5.501674000,00:00:00:00:00:03,00:00:00:00:00:08
357,6.499959000,00:00:00:00:00:03,00:00:00:00:00:08
358,6.500976000,00:00:00:00:00:03,00:00:00:00:00:08
359,6.504663000,00:00:00:00:00:03,00:00:00:00:00:08
377,7.499959000,00:00:00:00:00:03,00:00:00:00:00:08
378,7.501954000,00:00:00:00:00:03,00:00:00:00:00:08
397,8.499959000,00:00:00:00:00:03,00:00:00:00:00:08
398,8.500596000,00:00:00:00:00:03,00:00:00:00:00:08
399,8.501513000,00:00:00:00:00:03,00:00:00:00:00:08
418,9.499959000,00:00:00:00:00:03,00:00:00:00:00:08
419,9.502215000,00:00:00:00:00:03,00:00:00:00:00:08
420,9.506267000,00:00:00:00:00:03,00:00:00:00:00:08
438,10.499959000,00:00:00:00:00:03,00:00:00:00:00:08
439,10.502872000,00:00:00:00:00:03,00:00:00:00:00:08
458,11.499959000,00:00:00:00:00:03,00:00:00:00:00:08
459,11.502014000,00:00:00:00:00:03,00:00:00:00:00:08
478,12.499959000,00:00:00:00:00:03,00:00:00:00:00:08
479,12.501974000,00:00:00:00:00:03,00:00:00:00:00:08
480,12.504364000,00:00:00:00:00:03,00:00:00:00:00:08
498,13.499959000,00:00:00:00:00:03,00:00:00:00:00:08
499,13.504350000,00:00:00:00:00:03,00:00:00:00:00:08
517,14.499959000,00:00:00:00:00:03,00:00:00:00:00:08
518,14.504450000,00:00:00:00:00:03,00:00:00:00:00:08
536,15.499959000,00:00:00:00:00:03,00:00:00:00:00:08
537,15.502294000,00:00:00:00:00:03,00:00:00:00:00:08
538,15.504884000,00:00:00:00:00:03,00:00:00:00:00:08
539,15.509516000,00:00:00:00:00:03,00:00:00:00:00:08
559,16.499959000,00:00:00:00:00:03,00:00:00:00:00:08
560,16.501116000,00:00:00:00:00:03,00:00:00:00:00:08
579,17.499959000,00:00:00:00:00:03,00:00:00:00:00:08
580,17.503292000,00:00:00:00:00:03,00:00:00:00:00:08
598,18.499959000,00:00:00:00:00:03,00:00:00:00:00:08
599,18.503072000,00:00:00:00:00:03,00:00:00:00:00:08
620,19.499959000,00:00:00:00:00:03,00:00:00:00:00:08
621,19.502534000,00:00:00:00:00:03,00:00:00:00:00:08
622,19.505644000,00:00:00:00:00:03,00:00:00:00:00:08
641,20.499959000,00:00:00:00:00:03,00:00:00:00:00:08
642,20.500616000,00:00:00:00:00:03,00:00:00:00:00:08
662,21.499959000,00:00:00:00:00:03,00:00:00:00:00:08
663,21.501795000,00:00:00:00:00:03,00:00:00:00:00:08
682,22.499959000,00:00:00:00:00:03,00:00:00:00:00:08
683,22.503572000,00:00:00:00:00:03,00:00:00:00:00:08
701,23.499959000,00:00:00:00:00:03,00:00:00:00:00:08
702,23.504410000,00:00:00:00:00:03,00:00:00:00:00:08
720,24.499959000,00:00:00:00:00:03,00:00:00:00:00:08
721,24.501354000,00:00:00:00:00:03,00:00:00:00:00:08
722,24.502171000,00:00:00:00:00:03,00:00:00:00:00:08
741,25.499959000,00:00:00:00:00:03,00:00:00:00:00:08
742,25.501855000,00:00:00:00:00:03,00:00:00:00:00:08
761,26.499959000,00:00:00:00:00:03,00:00:00:00:00:08
762,26.505449000,00:00:00:00:00:03,00:00:00:00:00:08
781,27.499959000,00:00:00:00:00:03,00:00:00:00:00:08
782,27.503072000,00:00:00:00:00:03,00:00:00:00:00:08
802,28.499959000,00:00:00:00:00:03,00:00:00:00:00:08
803,28.500636000,00:00:00:00:00:03,00:00:00:00:00:08
822,29.499959000,00:00:00:00:00:03,00:00:00:00:00:08
823,29.503890000,00:00:00:00:00:03,00:00:00:00:00:08
843,30.499959000,00:00:00:00:00:03,00:00:00:00:00:08
844,30.500876000,00:00:00:00:00:03,00:00:00:00:00:08
862,31.499959000,00:00:00:00:00:03,00:00:00:00:00:08
863,31.501216000,00:00:00:00:00:03,00:00:00:00:00:08
864,31.508160000,00:00:00:00:00:03,00:00:00:00:00:08
882,32.499959000,00:00:00:00:00:03,00:00:00:00:00:08
883,32.501156000,00:00:00:00:00:03,00:00:00:00:00:08
901,33.499959000,00:00:00:00:00:03,00:00:00:00:00:08
902,33.501476000,00:00:00:00:00:03,00:00:00:00:00:08
903,33.504503000,00:00:00:00:00:03,00:00:00:00:00:08
921,34.499959000,00:00:00:00:00:03,00:00:00:00:00:08
922,34.501894000,00:00:00:00:00:03,00:00:00:00:00:08
923,34.507680000,00:00:00:00:00:03,00:00:00:00:00:08
943,35.499959000,00:00:00:00:00:03,00:00:00:00:00:08
944,35.500596000,00:00:00:00:00:03,00:00:00:00:00:08
964,36.499959000,00:00:00:00:00:03,00:00:00:00:00:08
965,36.503032000,00:00:00:00:00:03,00:00:00:00:00:08
984,37.499959000,00:00:00:00:00:03,00:00:00:00:00:08
985,37.500636000,00:00:00:00:00:03,00:00:00:00:00:08
1003,38.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1004,38.503292000,00:00:00:00:00:03,00:00:00:00:00:08
1023,39.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1024,39.501914000,00:00:00:00:00:03,00:00:00:00:00:08
1025,39.506607000,00:00:00:00:00:03,00:00:00:00:00:08
1043,40.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1044,40.503452000,00:00:00:00:00:03,00:00:00:00:00:08
1064,41.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1065,41.500936000,00:00:00:00:00:03,00:00:00:00:00:08
1083,42.499959000,00:00:00:00:00:03,00:00:00:00:00:08
