frame.number,frame.time_relative,wlan.ta,wlan.ra
97778,378.880101000,00:00:00:00:00:08,00:00:00:00:00:21
97779,378.880838000,00:00:00:00:00:08,00:00:00:00:00:21
97788,378.885901000,00:00:00:00:00:08,00:00:00:00:00:2f
97796,378.896732000,00:00:00:00:00:08,00:00:00:00:00:2f
97809,378.910662000,00:00:00:00:00:08,00:00:00:00:00:21
97816,378.917088000,00:00:00:00:00:08,00:00:00:00:00:21
97841,378.987526000,00:00:00:00:00:08,00:00:00:00:00:21
97850,379.001648000,00:00:00:00:00:08,00:00:00:00:00:21
97874,379.046088000,00:00:00:00:00:08,00:00:00:00:00:21
97884,379.057666000,00:00:00:00:00:08,00:00:00:00:00:21
97921,379.151148000,00:00:00:00:00:08,00:00:00:00:00:21
97931,379.167788000,00:00:00:00:00:08,00:00:00:00:00:21
97940,379.179928000,00:00:00:00:00:08,00:00:00:00:00:21
97946,379.188188000,00:00:00:00:00:08,00:00:00:00:00:21
97974,379.246079000,00:00:00:00:00:08,00:00:00:00:00:21
97986,379.266948000,00:00:00:00:00:08,00:00:00:00:00:21
98008,379.332288000,00:00:00:00:00:08,00:00:00:00:00:21
98014,379.345388000,00:00:00:00:00:08,00:00:00:00:00:21
98038,379.399207000,00:00:00:00:00:08,00:00:00:00:00:21
98044,379.410128000,00:00:00:00:00:08,00:00:00:00:00:21
98071,379.465168000,00:00:00:00:00:08,00:00:00:00:00:21
98093,379.508288000,00:00:00:00:00:08,00:00:00:00:00:21
98114,379.559188000,00:00:00:00:00:08,00:00:00:00:00:21
98131,379.594728000,00:00:00:00:00:08,00:00:00:00:00:21
98144,379.611472000,00:00:00:00:00:08,00:00:00:00:00:21
98169,379.654495000,00:00:00:00:00:08,00:00:00:00:00:21
98195,379.720748000,00:00:00:00:00:08,00:00:00:00:00:21
98201,379.725665000,00:00:00:00:00:08,00:00:00:00:00:21
98209,379.736308000,00:00:00:00:00:08,00:00:00:00:00:21
98221,379.756728000,00:00:00:00:00:08,00:00:00:00:00:21
98238,379.791101000,00:00:00:00:00:08,00:00:00:00:00:21
98363,380.167808000,00:00:00:00:00:08,00:00:00:00:00:21
126315,470.530534000,00:00:00:00:00:08,00:00:00:00:00:1a
126332,470.543300000,00:00:00:00:00:08,00:00:00:00:00:15
126531,470.919102000,00:00:00:00:00:08,00:00:00:00:00:15
126603,471.088690000,00:00:00:00:00:08,00:00:00:00:00:15
