frame.number,frame.time_relative,wlan.ta,wlan.ra
36089,280.755571000,00:00:00:00:00:32,00:00:00:00:00:08
36103,280.767316000,00:00:00:00:00:32,00:00:00:00:00:08
36112,280.773392000,00:00:00:00:00:32,00:00:00:00:00:08
36113,280.775069000,00:00:00:00:00:32,00:00:00:00:00:08
36114,280.777726000,00:00:00:00:00:32,00:00:00:00:00:08
36121,280.788227000,00:00:00:00:00:32,00:00:00:00:00:08
36131,280.833227000,00:00:00:00:00:32,00:00:00:00:00:08
36140,280.872392000,00:00:00:00:00:32,00:00:00:00:00:08
36147,280.884227000,00:00:00:00:00:32,00:00:00:00:00:08
36153,280.887227000,00:00:00:00:00:32,00:00:00:00:00:08
36154,280.888244000,00:00:00:00:00:32,00:00:00:00:00:08
36161,280.906392000,00:00:00:00:00:32,00:00:00:00:00:08
36167,280.917227000,00:00:00:00:00:32,00:00:00:00:00:08
36176,280.931392000,00:00:00:00:00:32,00:00:00:00:00:08
36189,280.969392000,00:00:00:00:00:32,00:00:00:00:00:08
36196,280.973227000,00:00:00:00:00:32,00:00:00:00:00:08
36197,280.974904000,00:00:00:00:00:32,00:00:00:00:00:08
36209,281.034227000,00:00:00:00:00:32,00:00:00:00:00:08
36217,281.068392000,00:00:00:00:00:32,00:00:00:00:00:08
36228,281.122227000,00:00:00:00:00:32,00:00:00:00:00:08
36239,281.165053000,00:00:00:00:00:32,00:00:00:00:00:08
36248,281.205227000,00:00:00:00:00:32,00:00:00:00:00:08
36249,281.206284000,00:00:00:00:00:32,00:00:00:00:00:08
36257,281.216392000,00:00:00:00:00:32,00:00:00:00:00:08
36263,281.227227000,00:00:00:00:00:32,00:00:00:00:00:08
36271,281.247392000,00:00:00:00:00:32,00:00:00:00:00:08
36281,281.294227000,00:00:00:00:00:32,00:00:00:00:00:08
36287,281.309392000,00:00:00:00:00:32,00:00:00:00:00:08
36288,281.310109000,00:00:00:00:00:32,00:00:00:00:00:08
36298,281.345392000,00:00:00:00:00:32,00:00:00:00:00:08
36306,281.366227000,00:00:00:00:00:32,00:00:00:00:00:08
36313,281.373392000,00:00:00:00:00:32,00:00:00:00:00:08
36320,281.380392000,00:00:00:00:00:32,00:00:00:00:00:08
