frame.number,frame.time_relative,wlan.ta,wlan.ra
56247,281.768486000,00:00:00:00:00:32,00:00:00:00:00:08
56249,282.768486000,00:00:00:00:00:32,00:00:00:00:00:08
56251,283.768486000,00:00:00:00:00:32,00:00:00:00:00:08
56253,284.768486000,00:00:00:00:00:32,00:00:00:00:00:08
56255,285.768486000,00:00:00:00:00:32,00:00:00:00:00:08
56256,285.769923000,00:00:00:00:00:32,00:00:00:00:00:08
56258,286.768486000,00:00:00:00:00:32,00:00:00:00:00:08
56259,286.770003000,00:00:00:00:00:32,00:00:00:00:00:08
56367,287.769204000,00:00:00:00:00:32,00:00:00:00:00:08
56483,288.768486000,00:00:00:00:00:32,00:00:00:00:00:08
56582,289.768486000,00:00:00:00:00:32,00:00:00:00:00:08
56686,290.769093000,00:00:00:00:00:32,00:00:00:00:00:08
56776,291.769180000,00:00:00:00:00:32,00:00:00:00:00:08
56877,292.768486000,00:00:00:00:00:32,00:00:00:00:00:08
56975,293.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57071,294.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57168,295.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57272,296.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57368,297.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57369,297.770083000,00:00:00:00:00:32,00:00:00:00:00:08
57473,298.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57567,299.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57678,300.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57781,301.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57876,302.768486000,00:00:00:00:00:32,00:00:00:00:00:08
57972,303.768486000,00:00:00:00:00:32,00:00:00:00:00:08
58061,304.768486000,00:00:00:00:00:32,00:00:00:00:00:08
58155,305.768486000,00:00:00:00:00:32,00:00:00:00:00:08
58258,306.768486000,00:00:00:00:00:32,00:00:00:00:00:08
58360,307.768486000,00:00:00:00:00:32,00:00:00:00:00:08
58558,308.768486000,00:00:00:00:00:32,00:00:00:00:00:08
58743,309.768486000,00:00:00:00:00:32,00:00:00:00:00:08
58932,310.768486000,00:00:00:00:00:32,00:00:00:00:00:08
59117,311.768486000,00:00:00:00:00:32,00:00:00:00:00:08
59313,312.768486000,00:00:00:00:00:32,00:00:00:00:00:08
59578,313.768486000,00:00:00:00:00:32,00:00:00:00:00:08
59840,314.768486000,00:00:00:00:00:32,00:00:00:00:00:08
60093,315.768486000,00:00:00:00:00:32,00:00:00:00:00:08
60360,316.768486000,00:00:00:00:00:32,00:00:00:00:00:08
60621,317.768486000,00:00:00:00:00:32,00:00:00:00:00:08
60885,318.768486000,00:00:00:00:00:32,00:00:00:00:00:08
61137,319.768486000,00:00:00:00:00:32,00:00:00:00:00:08
61398,320.768486000,00:00:00:00:00:32,00:00:00:00:00:08
61676,321.768486000,00:00:00:00:00:32,00:00:00:00:00:08
61929,322.768486000,00:00:00:00:00:32,00:00:00:00:00:08
62158,323.768486000,00:00:00:00:00:32,00:00:00:00:00:08
62344,324.768946000,00:00:00:00:00:32,00:00:00:00:00:08
62520,325.768486000,00:00:00:00:00:32,00:00:00:00:00:08
62695,326.768486000,00:00:00:00:00:32,00:00:00:00:00:08
62878,327.768987000,00:00:00:00:00:32,00:00:00:00:00:08
63107,328.768486000,00:00:00:00:00:32,00:00:00:00:00:08
63297,329.768486000,00:00:00:00:00:32,00:00:00:00:00:08
75658,377.667177000,00:00:00:00:00:05,00:00:00:00:00:08
75667,377.670248000,00:00:00:00:00:0b,00:00:00:00:00:08
75754,378.000897000,00:00:00:00:00:31,00:00:00:00:00:08
75781,378.087034000,00:00:00:00:00:31,00:00:00:00:00:08
75966,378.747467000,00:00:00:00:00:0a,00:00:00:00:00:08
76535,380.741766000,00:00:00:00:00:07,00:00:00:00:00:08
76543,380.744696000,00:00:00:00:00:10,00:00:00:00:00:08
77740,386.339807000,00:00:00:00:00:32,00:00:00:00:00:08
77750,386.346693000,00:00:00:00:00:05,00:00:00:00:00:08
77759,386.362064000,00:00:00:00:00:32,00:00:00:00:00:08
77783,386.450064000,00:00:00:00:00:32,00:00:00:00:00:08
